ALTO	CHANTEUSE À LA VOIX GRAVE	UNE VOIX DE FEMME	INSTRUMENT DE LA FAMILLE DES VIOLONS	TYPE DE VIOLON	DANS LES CORDES
ALU	MÉTAL EN BREF	MATIÈRE À JANTES	MÉTAL LÉGER	MÉTAL ABRÉGÉ
AM	AVANT L'HEURE DU REPAS	C'EST AVANT MIDI	DANS LA MATINÉE	C'EST LE MATIN
AMABILITE	POLITESSE
AMAIGRI	QUI A FONDU
AMAIGRIE	ÉMACIÉE
AMAIGRIR	CREUSER LES JOUES
AMANDINE	PÂTISSERIE AUX FRUITS
AMANITE	CHAMPIGNON QUI PEUT ÊTRE MORTEL
AMANTE	FEMME DE LIAISON
AMARRE	ATTACHE LE BATEAU
AMAS	ENSEMBLE MAL RANGÉ	GROUPE STELLAIRE
AMASSER	ENTASSER
AMASSERA	FERA DES TAS DE CHOSES
AMATRICES	FRIANDES
AME	ESPRIT	ELLE EST SOIGNÉE PAR L'ARTILLEUR	SE REND EN MOURANT	CŒUR	ELLE SE REND À LA FIN	LA CONSCIENCE	ESPRIT DE L'ÊTRE HUMAIN
AMELIOREE	AMENDÉE
AMELIORER	CHANGER EN MIEUX
AMEN	FIN DE PRIÈRE
AMENANT	APPORTANT
AMENAS	PRIS AVEC TOI
AMENE	CONDUIT À DESTINATION
AMENEE	ACHEMINÉE
AMENER	CONDUIRE
AMENES	TRANSPORTÉS
AMER	GOÛT D'UN THÉ TROP INFUSÉ	DE MAUVAIS GOÛT	DIFFICILE À AVALER	DÉSABUSÉ	AU GOÛT DÉSAGRÉABLE
AMERE	AU GOÛT DÉSAGRÉABLE
AMERRI	A FAIT COMME L'HYDRAVION
AMERS	DIFFICILES À AVALER
AMES	GENS DE LA COMMUNE	HABITANTS	CONSCIENCES
AMEUBLI	BINÉ POUR SEMER
AMEUTE	ALERTE
AMEUTEE	POUSSÉE DANS LA RUE
AMEUTER	RASSEMBLER DES CHIENS
AMI	IL FAIT PARTIE DES INTIMES	CONFIDENT	FLIRT QUAND IL EST PETIT	FIDÈLE COMPAGNON	COPAIN FIDÈLE
AMIANTE	PRODUIT TOXIQUE
AMIBE	PARASITE DE L'INTESTIN
AMICALES	POINT OPPOSÉES
AMICAUX	CORDIAUX
AMIDON	DURCIT LA TENUE
AMIDONNER	DURCIR UN COL
AMIE	CHÉRI  SI PETITE	BONNE COPINE	CONFIDENTE	MEMBRE D'UN CERCLE
AMIENS	CITÉ PICARDE
AMIES	MIEUX QUE DES COPINES
AMINE	TEL UN ACIDE
AMIRALE	OFFICIER FÉMININ DE LA FLOTTE
AMOINDRIR	MINORER
AMONCELE	RÉUNI EN MASSE
AMONCELLEMENTS	DES PILES ET DES PILES
AMONT	PARTIE DU COURS D'EAU VERS LA SOURCE
AMORAL	ÉTRANGER À L'ÉTHIQUE
AMORALE	INDIFFÉRENTE À L'ÉTHIQUE
AMORCEE	APPÂTÉE
AMORCER	ENTAMER
AMPERAGE	INTENSITÉ DE COURANT
AMPERE	MESURE DE COURANT
AMPLE	D'UNE LARGE DIMENSION
AMULETTE	GRIGRI
AMULETTES	FÉTICHES À PORTER
AMUSANTE	BURLESQUE
AMUSE	DÉTOURNE L'ATTENTION
AMUSER	DISTRAIRE
AN	IL MEURT UNE NUIT D'HIVER	IL MEURT DANS LA JOIE	EXERCICE	ON FÊTE SON PREMIER	SON ARRIVÉE SE FÊTE DANS LA JOIE	IL SE VIT AU JOUR LE JOUR	LA DURÉE DE LA RÉVOLUTION	DOUZE MOIS	IL COMMENCE EN HIVER	BOUT D'ÈRE	MESURE À QUATRE TEMPS	IL FAUT LE VIVRE AU JOUR LE JOUR	DURÉE DE 365 JOURS	DURÉE DE DOUZE MOIS	IL FAUT LE VIVRE POUR LE VOIR PASSER	LE MILLIÈME FUT REDOUTÉ	ON FÊTE SON PREMIER JOUR	IL S'ACHÈVE ET RENAÎT AUSSITÔT	QUATRE SAISONS	UN PEU D'ÈRE	LE TEMPS D'UN CYCLE	LE TEMPS D'UN TOUR	SON PREMIER JOUR EST FÊTÉ	LE QUARANTIÈME NOUS INDIFFÈRE	IL SE FÊTE DÈS LE DÉBUT	IL EST NEUF À DATE FIXE	IL COUVRE LES QUATRE SAISONS	C'EST PEU DE N'EN AVOIR QU'UN	TEMPS COMPTÉ	UN TOUT PETIT PEU D'ÈRE	SE FAIT AU JOUR LE JOUR	LE TEMPS D'ACCOMPLIR UN GRAND TOUR	DURÉE	QUATRE TRIMESTRES	MESURE DE L'ÂGE	IL COMMENCE PAR DES VŒUX
ANAIS	PRÉNOM FÉMININ
ANALPHABETISME	RÉSULTE DU MANQUE DE MAÎTRES
ANANAS	FRUIT ANTILLAIS
